year,month,day,temperature,completeness
2017,1,1,19.2,C
2017,1,2,20.7,C
2017,1,3,19.8,C
2017,1,4,20.2,C
2017,1,5,21.4,C
2017,1,6,21.9,C
2017,1,7,21.7,C
2017,1,8,22.9,C
2017,1,9,20.0,C
2017,1,10,19.0,C
2017,1,11,18.6,C
2017,1,12,18.1,C
2017,1,13,14.5,C
2017,1,14,14.8,C
2017,1,15,14.5,C
2017,1,16,15.4,C
2017,1,17,17.6,C
2017,1,18,18.5,C
2017,1,19,20.5,C
2017,1,20,17.7,C
2017,1,21,16.4,C
2017,1,22,15.9,C
2017,1,23,16.4,C
2017,1,24,16.8,C
2017,1,25,17.3,C
2017,1,26,16.5,C
2017,1,27,17.6,C
2017,1,28,17.1,C
2017,1,29,19.4,C
2017,1,30,19.9,C
2017,1,31,15.8,C
2017,2,1,18.1,C
2017,2,2,15.8,C
2017,2,3,16.6,C
2017,2,4,18.3,C
2017,2,5,19.2,C
2017,2,6,18.2,C
2017,2,7,16.4,C
2017,2,8,17.3,C
2017,2,9,12.8,C
2017,2,10,11.5,C
2017,2,11,13.3,C
2017,2,12,14.3,C
2017,2,13,15.7,C
2017,2,14,17.3,C
2017,2,15,17.5,C
2017,2,16,18.5,C
2017,2,17,20.4,C
2017,2,18,20.0,C
2017,2,19,17.3,C
2017,2,20,21.1,C
2017,2,21,17.8,C
2017,2,22,18.8,C
2017,2,23,17.5,C
2017,2,24,11.3,C
2017,2,25,10.7,C
2017,2,26,13.3,C
2017,2,27,16.6,C
2017,2,28,17.4,C
2017,3,1,19.0,C
2017,3,2,19.0,C
2017,3,3,16.9,C
2017,3,4,18.9,C
2017,3,5,20.7,C
2017,3,6,20.4,C
2017,3,7,17.4,C
2017,3,8,15.3,C
2017,3,9,16.4,C
2017,3,10,17.7,C
2017,3,11,17.3,C
2017,3,12,18.5,C
2017,3,13,21.6,C
2017,3,14,18.5,C
2017,3,15,16.1,C
2017,3,16,17.5,C
2017,3,17,17.9,C
2017,3,18,18.9,C
2017,3,19,19.7,C
2017,3,20,21.4,C
2017,3,21,22.9,C
2017,3,22,18.4,C
2017,3,23,21.1,C
2017,3,24,20.4,C
2017,3,25,19.3,C
2017,3,26,14.6,C
2017,3,27,19.0,C
2017,3,28,20.5,C
2017,3,29,21.8,C
2017,3,30,21.9,C
2017,3,31,19.8,C
2017,4,1,18.2,C
2017,4,2,19.3,C
2017,4,3,20.1,C
2017,4,4,21.5,C
2017,4,5,22.9,C
2017,4,6,23.0,C
2017,4,7,24.3,C
2017,4,8,24.5,C
2017,4,9,25.5,C
2017,4,10,26.7,C
2017,4,11,25.7,C
2017,4,12,19.9,C
2017,4,13,19.3,C
2017,4,14,21.3,C
2017,4,15,23.6,C
2017,4,16,25.1,C
2017,4,17,25.9,C
2017,4,18,26.9,C
2017,4,19,26.7,C
2017,4,20,25.6,C
2017,4,21,25.6,C
2017,4,22,19.7,C
2017,4,23,20.2,C
2017,4,24,20.9,C
2017,4,25,21.4,C
2017,4,26,23.7,C
2017,4,27,21.7,C
